댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgxeODM_fvYYC7UmOb94AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-06-22T11:02:17.460261+00:00,0,,,PQ59-2R_uM0,"{""text"":""자막은요?""}",
Ugz4jgk3BdRTag_-zrh4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-06-21T06:26:44.988165+00:00,0,,,Y6KRtT5uwvo,"{""text"":""11:32"",""videoLink"":{""externalVideoId"":""Y6KRtT5uwvo"",""startTimeSeconds"":692}},{""text"":"" 포켓몬트레이너 경험차이""}",
UgwW_HMnVsSXi_60Udt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-06-02T15:54:59.003126+00:00,0,,,9VdPD0Q3fS0,"{""text"":""6:36"",""videoLink"":{""externalVideoId"":""9VdPD0Q3fS0"",""startTimeSeconds"":396}},{""text"":"" 나 이거 검정고무신에서 봤어""}",
UgzayqD0bky41w3JDrB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-06-02T14:50:56.297193+00:00,0,,,gK_DLxh7Syk,"{""text"":""6:29"",""videoLink"":{""externalVideoId"":""gK_DLxh7Syk"",""startTimeSeconds"":389}},{""text"":"" 데스티니는 옴걸?""}",
UgxQbMG8r1gt8svUHzZ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-19T15:24:58.322243+00:00,0,,,FnDqWx_IwXE,"{""text"":""비비안 다홍아님?""}",
Ugx3sROa-OoNSbATad14AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-10T07:01:50.2153+00:00,0,,,oSZ-ca24dpA,"{""text"":""편집자님 분량 없나요?""}",
UgyrdPZ5gT9bmPxU2nt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-08T01:44:54.339977+00:00,0,,UgzlrfRb1rLmO9KnstB4AaABCQ,,"{""text"":""각 각 맵에 있는 스토리요 ""},{""text"":""\n""},{""text"":""예를들어서 외계인맵에 쪽지를 해석해 주시면서 여기는 외계인이 뭐 어쨌네 설명해 주셨으면 좋겠습니다""}",
UgxARPHCc7JVuyiDBeR4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-07T12:28:03.478541+00:00,0,,,5qgEaO3iNXs,"{""text"":""08:17"",""videoLink"":{""externalVideoId"":""5qgEaO3iNXs"",""startTimeSeconds"":497}},{""text"":""~ ""},{""text"":""08:25"",""videoLink"":{""externalVideoId"":""5qgEaO3iNXs"",""startTimeSeconds"":505}},{""text"":"" , ""},{""text"":""08:30"",""videoLink"":{""externalVideoId"":""5qgEaO3iNXs"",""startTimeSeconds"":510}},{""text"":"" ~ ""},{""text"":""08:36"",""videoLink"":{""externalVideoId"":""5qgEaO3iNXs"",""startTimeSeconds"":516}},{""text"":"" , ""},{""text"":""08:57"",""videoLink"":{""externalVideoId"":""5qgEaO3iNXs"",""startTimeSeconds"":537}},{""text"":"" ~ ""},{""text"":""09:04"",""videoLink"":{""externalVideoId"":""5qgEaO3iNXs"",""startTimeSeconds"":544}}",
UgytpsPklu96PXk_k_J4AaABAg.98J-q1rvlyw98K3CHRXIIw,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-06T16:01:48.601779+00:00,0,UgytpsPklu96PXk_k_J4AaABAg,UgygF7Z8aAsDwbBk0tZ4AaABCQ,,"{""text"":""• ㅁ •""}",UgytpsPklu96PXk_k_J4AaABAg
UgynpD7nyPifukVzYsl4AaABAg.98Bvi39R6wh98EL-YB9uQX,UCuGz8hZspvz_sC0P4DLUL8Q,2020-05-04T10:41:54.83121+00:00,0,UgynpD7nyPifukVzYsl4AaABAg,,nGKqzdXl1Og,"{""text"":""와 한국인!""}",UgynpD7nyPifukVzYsl4AaABAg
