댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
Ugzz0big7uegjHytJk54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-05-17T03:53:50.82613+00:00,0,,,AQLExGlm1-Y,"{""text"":""누나 둘에 남자가 막내면 누나들 이란 존재는 시끄러운 형둘입니다""}",
Ugwvgy3vPVOivTrBPVN4AaABAg.AW5mmMOp2DXAWSVI3wbmjb,UCuGz8hZspvz_sC0P4DLUL8Q,2026-05-06T04:43:52.54262+00:00,0,Ugwvgy3vPVOivTrBPVN4AaABAg,,DsTbfaK8Szg,"{""text"":""이 착하고 성실하고 평범한 청년""}",Ugwvgy3vPVOivTrBPVN4AaABAg
UgwpKmz_XAhpIT077mh4AaABAg.AU8SmxhBLXIAUf8VKl3Q-7,UCuGz8hZspvz_sC0P4DLUL8Q,2026-03-22T18:51:17.284873+00:00,0,UgwpKmz_XAhpIT077mh4AaABAg,,b_xi4Za7Uuk,"{""text"":""메기 린데만""}",UgwpKmz_XAhpIT077mh4AaABAg
Ugx5wA2ukeZ7sTgXx4F4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-03-01T13:56:15.748974+00:00,0,,,JvBw3ThE2hY,"{""text"":""하프물범은 안먹히나요?""}",
UgzfavKEY7TTZOxhVUB4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-01-29T14:40:19.308942+00:00,0,,,2Lv_8O5ZbEA,"{""text"":""yt애플 데려와주세요""}",
Ugyhv_hhlWvf0V_UJJF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-01-29T13:43:38.615611+00:00,0,,,ByuQCzDkEq0,"{""text"":""대전 서일고 같은데요""}",
UgwSiBia3bz_-s5x-oN4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-01-27T02:55:55.321697+00:00,0,,,Lx7LZ4WYZvU,"{""text"":""남자가 마음급해지면 여자는 뷴명 후회할텐데""}",
Ugzmp4m3R0ZTXUuwZVN4AaABAg.9EmfMC5BRo3ARmneJm5MFU,UCuGz8hZspvz_sC0P4DLUL8Q,2026-01-10T04:40:09.300074+00:00,0,Ugzmp4m3R0ZTXUuwZVN4AaABAg,,gVB_b4dXpZw,"{""text"":""채널이 팔렸나봐요 이상한게 뜨네요""}",Ugzmp4m3R0ZTXUuwZVN4AaABAg
UgzLXmnRNo-526DBmiJ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-01-08T05:32:31.17839+00:00,0,,,gw5eM84zjAc,"{""text"":""대학교 자취방은 아무래도 그냥 가야겠죠?""}",
Ugxz_uqC_EwOIqGJAoF4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2026-01-06T08:00:28.358559+00:00,0,,,HZ_RKLbSunU,"{""text"":""ferdona""},{""text"":""\n""},{""text"":""\n""},{""text"":""최근에 눈쟁이보고 키보드를 바꿨는데요 자석축 이면 더 좋죠""}",
